timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/04 04:11:04.672, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.674, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.674, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.675, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.675, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.675, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.676, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.676, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.676, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.677, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.677, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.678, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.678, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.679, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.679, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.679, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.680, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.680, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.680, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.681, 0, 14955 MiB, 81920 MiB, 66 %
2026/07/04 04:11:34.681, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.682, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.682, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.682, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.682, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.683, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.683, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.684, 0, 14955 MiB, 81920 MiB, 16 %
2026/07/04 04:11:44.684, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.685, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.685, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.685, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.686, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.686, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:44.686, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.687, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.687, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.688, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.688, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.688, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.689, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.689, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:54.689, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.690, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.690, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.691, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.691, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.691, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.691, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.692, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:04.692, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.693, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.694, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.694, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.694, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.695, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.695, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.695, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:14.696, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.696, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.696, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.697, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.697, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.697, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.698, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.698, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:24.698, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.698, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.699, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.699, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.700, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.700, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.700, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.700, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:34.701, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.702, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.702, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.703, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.703, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.703, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.704, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.704, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:44.704, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.705, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.706, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.706, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.706, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.707, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.707, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.707, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:12:54.708, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.708, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.709, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.709, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.709, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.709, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.710, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.710, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:04.710, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.711, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.711, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.711, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.712, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.712, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.712, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.713, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:14.713, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.713, 0, 14955 MiB, 81920 MiB, 76 %
2026/07/04 04:13:24.714, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.714, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.714, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.715, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.715, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.715, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:24.715, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:34.716, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:13:34.716, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:13:34.717, 2, 0 MiB, 81920 MiB, 0 %
