timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/04 01:13:54.142, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:54.142, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.143, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.143, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.143, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.144, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.144, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.144, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.144, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:04.144, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.145, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.146, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.146, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.146, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.147, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.147, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.147, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:14.147, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.148, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.148, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.149, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.149, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.149, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.149, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.149, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:24.150, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.150, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.151, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.151, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.151, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.151, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.152, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.152, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:34.152, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.153, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.153, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.153, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.154, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.154, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.154, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.155, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:44.155, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.155, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.156, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.156, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.156, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.157, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.157, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.157, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:14:54.158, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.158, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.159, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.159, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.159, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.159, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.160, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.160, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:04.160, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.161, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.161, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.162, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.162, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.162, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.162, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.163, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:14.163, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.164, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.165, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.165, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.165, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.165, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.165, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.166, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:24.166, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.167, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.167, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.168, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.168, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.168, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.168, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.168, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:34.168, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.169, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:15:44.170, 1, 0 MiB, 81920 MiB, 0 %
